,accuracy,capturedAt,convergenceStatus,latitude,longitude,planterCheckInId,treeUuid
2387,6,1601877159064,CONVERGED,-6.659176215404919,37.621467452066675,1,098ad450-c603-4419-bdcb-5c5a367332d4
2401,12,1601877176044,CONVERGED,-6.6591667805604615,37.62146255572571,1,0369b2dc-c778-4359-a22a-f448592419d5
2419,8,1601877197656,CONVERGED,-6.6591475171195995,37.621514966906226,1,05a3c528-d1d9-4670-ae80-bd3479a7bd6b
2434,4,1601877216333,CONVERGED,-6.659177562169659,37.621545472497296,1,03709a89-0fac-4e0e-b0ef-70f1dc970ee7
2446,6,1601877232794,CONVERGED,-6.659153358989402,37.62157126139747,1,3f8ea7d1-7819-4e14-b4cb-95dd451a1e1d
2461,6,1601877251362,CONVERGED,-6.6591581566916025,37.62160015336278,1,17869d18-7177-4ce3-b8a2-0212616fffd1
2476,6,1601877270711,CONVERGED,-6.659120982634062,37.621622092512204,1,5410c93a-dbae-4198-b8b6-b26a274fbcfe
2488,4,1601877287423,CONVERGED,-6.659100799145434,37.62165893689904,1,72f8f5d5-cebd-4ef2-a307-36c30f2f6369
2500,6,1601877304576,CONVERGED,-6.659124299245571,37.62165570884825,1,25123e86-5058-4599-a2fa-309297297d40
2513,8,1601877324322,CONVERGED,-6.659115302098756,37.62171343119428,1,4a92b972-22d3-47a4-a62d-34c92871280d
2527,8,1601877342795,CONVERGED,-6.6590739269962285,37.621736375648425,1,e5a7a710-e46d-4594-bebd-77daed1d4447
2540,6,1601877362565,CONVERGED,-6.659092832228344,37.6217879068941,1,80f09a26-1011-4992-851b-3db09b16dea4
2551,6,1601877380880,CONVERGED,-6.659111470142088,37.62182306770693,1,a477d52e-e7a5-493a-b36b-2ab0e2779bd2
2579,8,1601877415422,CONVERGED,-6.659075596625356,37.621839947603725,1,647ca563-54d1-44a1-a066-77090c714b0c
2603,6,1601877446367,CONVERGED,-6.659034025039077,37.62201346290232,1,12c2bad5-3b91-4fd5-9fdc-4fcf7fe309e3
2617,8,1601877465690,CONVERGED,-6.6590313067379405,37.62201754425409,1,37a04aed-cfab-43de-ba82-b55a0df469fd
2628,6,1601877482557,CONVERGED,-6.659044227400068,37.622049467099025,1,f39ea194-4d55-49ab-a8b2-53207989185c
2642,6,1601877501842,CONVERGED,-6.6590119082249295,37.62207606173735,1,c69d6f22-1251-45e6-92f3-484f6246df74
2656,8,1601877522304,CONVERGED,-6.659017078790511,37.622081318300935,1,8e003fc4-dee1-4e5e-af90-ea3085608e29
2673,6,1601877545699,CONVERGED,-6.659021504844178,37.62209597086928,1,a3fd7043-7a65-4404-95ec-d81c7ee04aeb
2685,8,1601877564410,CONVERGED,-6.659007999589522,37.62212011945008,1,6508dd89-89c4-4049-a48c-e47516edbf00
2700,8,1601877586051,CONVERGED,-6.6589831307976075,37.622194339717296,1,f5834ab4-5ed3-41cd-91c4-cb02114c55bf
2711,8,1601877604208,CONVERGED,-6.658972269921656,37.62221553469068,1,b5666f12-0679-414f-b410-d5d94542e82a
2721,6,1601877622315,CONVERGED,-6.658969721245822,37.622238254666954,1,0b9b3afe-85c9-4820-a1e3-70a69eddfb95
2736,8,1601877645423,CONVERGED,-6.658952704191848,37.62227443410744,1,153ee93e-ae7c-485f-aac0-135d2b1a1a8f
2750,8,1601877658912,CONVERGED,-6.65894585888356,37.622306856196886,1,b37eae07-d11e-4d53-b426-13ef2af1121e
2777,8,1601877686174,CONVERGED,-6.658940173808516,37.6223682396994,1,9e596c3a-15ee-47b3-aaa2-53b62caa1949
2799,6,1601877708261,CONVERGED,-6.658928964723297,37.62238025247584,1,384d6051-9b6b-4be8-b4e0-4a7e93763965
2819,8,1601877728525,CONVERGED,-6.658940648471664,37.62241361022888,1,a94d5982-6d57-4015-b696-012b254bc573
2840,6,1601877748863,CONVERGED,-6.6589089157254175,37.62245142403036,1,1358170b-c39f-41b6-adbd-4f37c2dc7ae0
2863,6,1601877773696,CONVERGED,-6.658928259377401,37.622476738291795,1,d482e0de-44e2-4cd9-b6d8-59efceb980b2
2876,8,1601877787014,CONVERGED,-6.658927950233163,37.62247939936123,1,6b470811-8829-4e32-a902-79ffc24194e0
2895,6,1601877807327,CONVERGED,-6.658919002989432,37.62250715131936,1,c1f24f0c-0dec-40f3-8d15-00d29dd87202
2915,12,1601877827876,CONVERGED,-6.658924745382143,37.622517347605296,1,4d1dbcf0-01b6-4c6c-8f97-ef695647f039
2935,8,1601877850325,CONVERGED,-6.658892576410541,37.62258514490311,1,639c1730-c012-4d41-8c55-1a1a71dd00d5
2951,8,1601877868227,CONVERGED,-6.6588850582225065,37.62261845824866,1,d3df89a5-bf0f-4756-b6a7-2c10ebab61d2
2968,8,1601877887587,CONVERGED,-6.658890551392982,37.62261953955762,1,ca01e8da-31b6-46d0-a3bc-6829616ea040
2982,8,1601877903311,CONVERGED,-6.658873122568053,37.6226434941084,1,4341a306-474d-4c3e-ac45-f43d9c993660
2996,6,1601877919686,CONVERGED,-6.6588722407901395,37.622683381158275,1,37aadd66-488c-46b4-b9c2-73171af7d5c0
3008,6,1601877934312,CONVERGED,-6.65886801819646,37.622691416650795,1,ccf2409b-ac16-4fae-8bcb-4fd36d5406ff
3022,4,1601877951870,CONVERGED,-6.65886318525301,37.62271101221818,1,bcaf4ce3-32c2-4ec7-882e-9bd37676ed62
3037,8,1601877967662,CONVERGED,-6.6588947547835735,37.62270312525996,1,c83647ea-497d-4241-81bc-57aa42020c02
3052,6,1601877982112,CONVERGED,-6.6588430812782375,37.62274465947873,1,290209c0-7ad4-4137-8140-214c582189dc
3064,8,1601877993815,CONVERGED,-6.658844438346428,37.622792181626096,1,387c0b1b-8285-4ffa-85ec-b53d00a815e0
3079,6,1601878010198,CONVERGED,-6.6588559901634685,37.62282447217294,1,b81b5aa7-7b04-4bcf-8fa0-c6ad36e324c3
3090,6,1601878023397,CONVERGED,-6.658863595334075,37.62283540028836,1,12560f82-b702-4e5f-8c4d-5ea7457b27f3
3104,8,1601878038612,CONVERGED,-6.658868190349273,37.62281041930746,1,878a626f-6789-485d-a209-7f363afda6cb
3118,6,1601878055634,CONVERGED,-6.658867425199435,37.62278711003845,1,d77a9290-4613-40a8-947a-0317aa6e32cf
3129,12,1601878071236,CONVERGED,-6.658869183852085,37.62275582541472,1,9af14eaf-7e6a-4f81-a321-9aaeb7b22bad
3146,6,1601878092355,CONVERGED,-6.658892079128304,37.62276578699174,1,fdee2a3e-354c-486d-8425-4a337efc34c2
3159,12,1601878105809,CONVERGED,-6.65889255425227,37.622722035584886,1,2aa93745-013b-49e2-a9eb-119e051be008
